Word,contempPoet,19th,contempAmateur,total
pagan,0,1,0,1
pæans,0,1,0,1
last,20,19,15,54
thou,0,33,0,33
barely,1,0,0,1
connection,0,1,0,1
lash,0,1,0,1
poverty,0,0,2,2
whole,5,11,4,20
housetops,0,1,0,1
healing,0,1,1,2
load,0,1,0,1
loaf,1,0,0,1
majesty,0,1,0,1
bell,8,3,0,11
loam,1,1,0,2
hollow,2,5,1,8
adjoining,0,1,0,1
jowls,1,0,0,1
church,1,2,0,3
belt,0,2,0,2
devil,1,0,1,2
filth,0,2,0,2
acceptance,0,0,1,1
fudge,0,1,0,1
rattle,0,1,0,1
extravagant,0,1,0,1
firm,0,2,1,3
resting,1,0,2,3
sweetheart,0,2,0,2
champion,0,0,1,1
fire,8,11,1,20
growen,0,1,0,1
awake,2,2,1,5
towns,1,1,0,2
wheeled,1,0,0,1
firs,1,0,0,1
presses,1,1,1,3
heaumes,0,2,0,2
uncertain,0,0,1,1
damselflies,1,0,0,1
straight,2,1,3,6
sesame,1,0,0,1
forgetting,1,0,1,2
pressed,2,1,0,3
brocaded,0,3,0,3
leaning,1,1,0,2
kissing,0,0,1,1
robin,0,1,0,1
dozed,0,1,0,1
eeriness,1,0,0,1
real,3,1,5,9
hoping,0,0,2,2
arching,1,0,0,1
moth,5,0,0,5
binding,0,0,2,2
vow,0,2,1,3
vor,0,3,0,3
ower,0,1,0,1
chase,0,2,0,2
renounced,0,1,0,1
sounding,0,2,0,2
starlight,0,1,0,1
fetching,1,0,0,1
seek,0,7,0,7
doat,0,1,0,1
derby,0,1,0,1
epithet,1,0,0,1
fridge,0,0,1,1
stack,1,0,0,1
recent,2,0,1,3
loathsome,0,1,0,1
picks,0,1,0,1
concrete,0,0,1,1
feces,1,0,0,1
theatres,0,1,0,1
clasped,0,1,0,1
cabins,1,0,0,1
lads,0,1,0,1
arrests,1,0,0,1
rumbling,0,1,0,1
unto,0,8,0,8
readers,1,0,0,1
pillars,0,1,0,1
eager,1,1,2,4
parents,0,2,0,2
crying,1,0,8,9
furniture,1,0,0,1
surprised,1,0,0,1
jutting,1,0,0,1
couple,1,1,0,2
wives,0,1,0,1
suffering,6,0,0,6
quest,0,0,1,1
clutched,1,0,0,1
abound,0,1,0,1
flannel,0,2,0,2
d,2,1,0,3
bruit,1,0,0,1
spine,0,0,1,1
chorus,0,1,3,4
continue,1,1,5,7
yields,1,0,0,1
scape,0,1,0,1
tribes,0,1,0,1
spins,1,0,1,2
canst,0,1,0,1
spring,5,12,2,19
bounce,0,0,2,2
sighs,0,3,0,3
palm,0,0,1,1
sight,0,2,1,3
curious,1,1,0,2
pale,6,7,1,14
momentary,0,1,0,1
religion,0,1,1,2
temple,1,0,0,1
ceare,0,1,0,1
t,1,3,1,5
be,55,78,116,249
odor,1,0,0,1
nowhere,2,0,0,2
santa,0,1,0,1
carol,0,1,0,1
by,62,71,36,169
anything,5,1,7,13
wrinkles,0,1,0,1
forgave,0,1,0,1
wrinkled,1,0,0,1
forearms,1,0,0,1
repair,1,1,0,2
reverence,0,1,0,1
garbage,3,0,0,3
into,53,23,25,101
custom,0,3,0,3
creosote,1,0,0,1
shalt,0,1,0,1
purred,1,0,0,1
opens,2,1,0,3
strives,0,0,1,1
elsewhere,1,0,0,1
inches,1,0,0,1
quenched,0,1,0,1
archaic,0,1,0,1
atlantic,0,1,0,1
atom,0,2,0,2
line,6,3,2,11
intestines,1,0,0,1
fades,1,0,2,3
immured,0,1,0,1
burrows,1,0,0,1
up,67,41,37,145
us,38,43,33,114
ur,1,0,0,1
un,2,0,0,2
haydust,1,0,0,1
hornet,2,0,0,2
yelled,2,0,0,2
genial,0,1,0,1
flocked,0,1,0,1
influence,0,0,1,1
haunt,0,1,0,1
coasting,1,0,0,1
chat,0,1,0,1
graceful,1,0,1,2
phantom,0,1,0,1
retrace,0,1,0,1
occasional,0,0,1,1
parakeet,1,0,0,1
swirl,0,0,1,1
sails,0,2,0,2
tart,0,1,1,2
tedium,0,1,0,1
beginnings,0,1,0,1
lucid,0,0,1,1
cobblestone,1,0,0,1
vantage,0,1,0,1
ago,6,1,1,8
lane,1,1,0,2
land,1,7,4,12
fighter,0,1,1,2
expressionless,1,0,0,1
age,3,3,2,8
holes,2,2,0,4
walked,8,6,3,17
came,17,17,3,37
fresh,3,3,4,10
menace,1,0,0,1
hello,1,0,0,1
squats,0,1,0,1
scratch,1,0,0,1
laziness,0,1,0,1
results,1,0,0,1
soften,0,1,0,1
gossip,0,1,0,1
churned,1,0,0,1
seemed,3,5,0,8
tearing,0,0,1,1
glows,0,2,0,2
harvest,0,2,0,2
young,22,16,1,39
send,0,0,1,1
sent,1,1,3,5
garden,3,13,5,21
continues,2,0,0,2
languished,0,0,1,1
syntax,1,0,0,1
continued,1,0,0,1
wipe,2,0,0,2
timely,0,1,0,1
magic,1,1,6,8
harbor,3,0,0,3
marry,0,2,0,2
eve,0,3,0,3
anxious,1,0,0,1
race,1,4,0,5
leonardo,0,1,0,1
rack,1,0,0,1
sown,0,2,0,2
pledge,1,0,0,1
gholam,0,1,0,1
shrimps,0,1,0,1
haiku,1,0,0,1
pajamas,1,0,0,1
thik,0,1,0,1
sweaty,1,0,0,1
henceforth,0,1,0,1
consistently,0,0,1,1
indian,1,1,0,2
twins,0,1,0,1
flowing,1,3,1,5
bird,9,7,1,17
led,2,3,3,8
lee,1,0,0,1
leg,1,0,0,1
gathered,2,0,0,2
punch,0,0,1,1
spake,0,1,0,1
let,16,21,25,62
invented,1,0,0,1
untidiness,1,0,0,1
great,7,15,5,27
receive,0,2,2,4
screech,0,1,0,1
scatter,1,0,0,1
jobiska,0,4,0,4
survey,1,0,0,1
defeat,1,2,0,3
opinion,0,1,1,2
makes,6,1,15,22
maker,0,3,1,4
thats,0,0,3,3
sire,0,1,0,1
moorlands,0,2,1,3
jackass,0,1,0,1
tools,2,0,0,2
standing,4,1,2,7
confidence,0,2,0,2
recalling,0,1,0,1
fitfully,1,0,0,1
next,5,1,5,11
doubt,0,1,1,2
pencil,1,0,0,1
baffled,0,0,1,1
occurred,1,0,0,1
carrying,1,0,0,1
bullhorn,1,0,0,1
labelled,1,0,0,1
sharply,0,1,0,1
baby,2,0,4,6
gladly,1,0,0,1
dicing,1,0,0,1
balls,1,1,0,2
animals,1,1,0,2
this,75,46,90,211
insists,1,0,0,1
reproduce,0,1,0,1
larch,0,1,0,1
thin,1,1,0,2
oarlocks,1,1,0,2
fulfill,0,1,0,1
coffin,1,0,0,1
murmuring,0,1,0,1
slid,2,2,0,4
bent,3,2,0,5
reeds,1,1,0,2
process,2,0,0,2
lock,2,0,1,3
slim,0,1,0,1
rode,0,1,0,1
pieces,1,0,0,1
high,9,12,3,24
beckoned,0,0,2,2
slit,2,1,0,3
bend,4,0,1,5
slip,1,3,1,5
pieced,1,1,0,2
martyr,0,2,0,2
trumpet,0,1,0,1
weaken,0,0,1,1
paws,1,0,0,1
paled,0,1,0,1
wares,0,1,0,1
delay,0,1,0,1
animal,3,1,0,4
mumbles,0,0,1,1
mightst,0,2,0,2
clasping,0,0,3,3
blocks,2,0,0,2
unmuffled,1,0,0,1
await,1,1,0,2
wristwatch,1,0,0,1
tied,0,1,1,2
throbs,0,1,0,1
notebook,1,0,0,1
preferring,1,0,0,1
ties,1,1,0,2
marrow,1,0,0,1
hawk,1,0,0,1
realized,0,0,2,2
counter,1,2,0,3
reminders,0,0,1,1
robot,0,0,1,1
element,1,0,0,1
roseate,0,1,0,1
unstanched,0,1,0,1
realizes,0,0,1,1
allow,1,0,1,2
counted,5,0,0,5
antelope,2,0,0,2
holds,2,3,0,5
thigh,3,0,0,3
tribe,0,1,0,1
move,8,2,3,13
doubtful,0,1,0,1
weasten,0,1,0,1
warren,0,1,0,1
perfect,2,4,2,8
decay,0,1,0,1
chosen,0,1,1,2
snouts,2,0,0,2
remorseless,0,0,1,1
shudder,0,1,0,1
designs,0,1,0,1
insistent,0,1,0,1
bat,1,1,0,2
ship,0,4,0,4
dock,0,1,0,1
snake,1,1,0,2
kiss,7,3,12,22
cage,0,0,1,1
realize,1,0,2,3
draftees,1,0,0,1
delightful,0,1,0,1
vibrations,0,0,1,1
truth,0,6,5,11
overripe,1,0,0,1
beneath,3,4,2,9
traces,0,1,0,1
scorch,1,0,0,1
glasses,3,0,0,3
enigmatic,0,1,0,1
doing,7,1,5,13
society,1,1,0,2
books,4,1,0,5
thirteen,1,0,0,1
ariettes,0,1,0,1
wander,0,3,0,3
witness,1,0,1,2
ascension,1,0,0,1
wellspring,0,0,1,1
shut,5,2,0,7
wallpaper,2,0,0,2
thrush,0,1,0,1
perish,0,3,0,3
greedy,1,0,0,1
surely,0,4,0,4
tempt,0,2,0,2
shun,0,2,0,2
chinks,1,0,0,1
durbar,0,2,0,2
scary,0,0,2,2
replaying,0,0,1,1
scars,0,0,6,6
put,7,6,6,19
hitched,0,1,0,1
length,1,0,0,1
serenity,0,0,1,1
davis,1,0,0,1
chills,0,0,2,2
linnet,0,2,0,2
staggered,1,0,0,1
demonstrating,0,1,0,1
blown,2,0,1,3
pines,2,2,0,4
scene,2,3,1,6
jesus,2,3,0,5
pinen,0,1,0,1
blows,0,4,0,4
scent,1,1,1,3
festival,0,1,0,1
traveller,1,0,0,1
stealth,0,1,0,1
sergeant,1,0,0,1
travelled,0,1,0,1
behaved,0,1,1,2
stars,5,18,6,29
quarry,1,0,0,1
moriarty,1,0,0,1
steel,2,4,0,6
buttocks,1,0,0,1
bother,0,0,4,4
tortured,1,0,0,1
tortures,0,1,0,1
steep,1,1,0,2
torrent,1,0,0,1
devotion,1,0,0,1
false,3,5,0,8
shrinks,0,0,1,1
platypus,0,0,2,2
trusting,0,0,1,1
tonight,2,0,0,2
gentle,1,2,2,5
sidelong,0,1,0,1
clearly,1,1,1,3
soak,1,0,0,1
studying,1,0,0,1
therewith,0,1,0,1
apprise,0,1,0,1
hangover,0,0,1,1
astride,1,0,0,1
babes,0,2,0,2
juliet,0,1,0,1
scooping,0,2,0,2
persistence,0,0,1,1
soar,0,0,1,1
manor,0,1,0,1
raindrop,0,1,0,1
petals,1,0,0,1
courtesy,1,2,0,3
medal,0,1,0,1
bred,1,2,0,3
stronger,0,1,4,5
face,20,15,8,43
perceiving,0,1,0,1
mechanical,0,1,0,1
brew,0,0,1,1
wounded,0,1,0,1
painting,5,0,0,5
fact,2,2,2,6
atmosphere,2,1,1,4
bring,2,11,1,14
bikes,1,0,0,1
rouge,1,0,0,1
rough,1,2,2,5
principal,1,0,0,1
jostling,0,1,0,1
burnished,1,0,0,1
jaw,2,0,0,2
jar,1,1,0,2
softens,1,0,0,1
buttons,1,1,0,2
planted,1,0,0,1
tape,0,0,1,1
riding,1,1,0,2
sylvia,1,0,0,1
maggoty,0,0,1,1
hope,1,7,6,14
exchanged,0,0,2,2
feairer,0,1,0,1
handle,1,1,0,2
listened,1,0,0,1
bonds,0,3,0,3
familiar,3,0,1,4
listener,0,1,0,1
smash,1,0,0,1
stuff,0,1,2,3
streamlined,0,0,1,1
frame,0,3,0,3
slanted,1,0,0,1
configures,1,0,0,1
textiles,0,0,1,1
mysteries,0,3,0,3
wire,6,1,0,7
destiny,0,2,2,4
nuclear,1,0,0,1
quickest,1,0,0,1
injustice,1,0,0,1
membrane,1,0,0,1
ends,2,3,3,8
interchangeably,1,0,0,1
gnomes,0,0,1,1
butte,1,0,0,1
porticos,0,1,0,1
staring,2,0,1,3
mellons,1,0,0,1
drum,3,1,0,4
northeaster,0,4,0,4
invited,1,0,0,1
figures,1,0,0,1
bristol,0,2,0,2
adjusted,0,1,0,1
whispering,0,0,2,2
paperboy,1,0,0,1
accursed,0,1,0,1
dazzling,2,0,0,2
whate'er,0,2,0,2
hottest,0,2,0,2
waste,0,1,2,3
unfound,1,0,0,1
spain,0,1,0,1
banish,0,0,1,1
wearied,0,1,0,1
coals,1,0,0,1
reminiscence,1,0,0,1
cutlass,0,1,0,1
apparitions,0,0,1,1
rigged,0,1,0,1
ripe,1,2,0,3
lush,1,0,0,1
prosper,0,1,0,1
lust,1,1,0,2
sits,1,2,1,4
pith,0,1,0,1
balm,0,1,0,1
ball,1,0,0,1
dusk,0,2,0,2
bale,0,1,0,1
drink,5,3,3,11
upon,4,27,8,39
dust,0,4,2,6
expand,0,1,0,1
off,17,8,6,31
colour,0,1,0,1
overcast,0,1,0,1
patterns,1,1,0,2
command,0,1,0,1
oft,0,1,0,1
drawing,0,2,0,2
lest,1,1,0,2
legendary,0,1,0,1
less,2,13,2,17
moments,1,0,4,5
rambled,0,0,1,1
clocks,0,1,0,1
aspired,0,1,0,1
rooms,4,2,0,6
glue,0,0,1,1
web,0,0,1,1
stairways,1,0,0,1
wed,0,3,0,3
sickened,1,0,0,1
orphaned,2,0,0,2
arrest,0,1,0,1
combing,0,1,0,1
crack,2,0,0,2
government,1,0,0,1
checking,1,0,0,1
pied,0,1,0,1
crux,1,0,0,1
whispers,0,2,2,4
haul,0,1,0,1
five,7,2,0,9
lightless,1,0,0,1
goings,0,0,1,1
tick,1,0,1,2
pier,1,0,0,1
bayonets,0,1,0,1
crisp,1,4,0,5
onion,2,0,0,2
chairs,2,0,0,2
tinted,2,0,1,3
garage,2,0,0,2
flickering,1,1,0,2
become,6,3,12,21
murn,0,1,0,1
drilled,1,0,0,1
thief,0,1,0,1
immortal,0,2,0,2
daylight,0,2,0,2
flush,0,2,0,2
hissing,1,0,0,1
transport,1,0,0,1
literally,1,0,0,1
avoid,0,1,0,1
shone,2,1,0,3
anguished,0,0,1,1
does,4,5,9,18
passion,1,5,3,9
forgiven,1,0,0,1
doofenshmitz,0,0,1,1
fortissimo,0,1,0,1
blowing,2,2,0,4
voluptuous,0,1,0,1
pear,2,1,0,3
cellulose,0,1,1,2
pressure,1,0,1,2
coldly,0,1,0,1
stage,2,4,0,6
iris,1,0,0,1
sister,3,2,2,7
drumming,1,0,0,1
asks,1,0,0,1
whistled,0,1,0,1
furred,1,0,0,1
blackness,2,0,0,2
documentary,1,0,0,1
swimming,4,1,1,6
letters,4,1,0,5
ferrule,0,1,0,1
rectify,1,0,0,1
pussy,0,1,0,1
errands,0,0,1,1
roads,1,3,0,4
swimmers,1,0,0,1
mere,0,2,0,2
cradling,1,0,0,1
worshippers,0,1,0,1
startled,2,1,0,3
frustration,0,1,0,1
naturally,0,1,0,1
function,0,1,0,1
doubter,0,1,0,1
36th,1,0,0,1
everywheres,0,1,0,1
sauté,1,0,0,1
lowered,1,2,0,3
apollo,0,1,0,1
basin,0,2,0,2
count,1,1,0,2
detestable,0,1,0,1
places,1,1,1,3
triumphant,0,1,0,1
placed,0,3,1,4
bearing,1,0,0,1
nurses,0,0,1,1
recognize,0,0,1,1
nursed,1,0,0,1
effected,0,0,1,1
variety,0,0,1,1
trials,0,1,1,2
lately,0,1,0,1
behold,0,3,0,3
illusion,0,0,2,2
reckless,0,1,0,1
repeat,1,2,0,3
monday,0,1,0,1
tides,0,0,2,2
stringy,1,0,0,1
turneth,0,1,0,1
chance,0,0,4,4
repeal,1,0,0,1
veil,0,3,0,3
dolphins,1,0,0,1
ghost,2,2,0,4
squinch,1,0,0,1
hoots,0,1,0,1
rule,0,2,0,2
eddies,1,0,0,1
hedges,0,1,1,2
abhor,0,0,2,2
magnetic,0,1,0,1
all,65,109,82,256
oldest,0,1,0,1
saved,2,2,0,4
adorning,0,1,0,1
stinks,1,0,0,1
stinky,1,0,0,1
endings,1,0,0,1
daze,0,0,2,2
entryways,1,0,0,1
sped,1,1,0,2
plaintive,0,1,0,1
worth,1,2,3,6
ale,1,0,1,2
compassion,0,1,0,1
blanket,1,0,0,1
knowest,0,2,0,2
bewildered,0,2,0,2
daydream,0,0,1,1
pinch,1,0,0,1
relentlessly,0,0,1,1
humidity,1,0,0,1
arrayed,0,1,0,1
poppy,0,1,0,1
triumph,1,1,0,2
chew,1,0,0,1
monotonous,1,0,0,1
bubbling,0,1,0,1
horn,1,5,0,6
preacher,0,0,1,1
dwindles,0,0,1,1
machines,2,0,0,2
decadence,0,0,1,1
birdcall,1,0,0,1
above,10,12,11,33
churches,1,0,0,1
told,2,13,2,17
admirers,0,1,0,1
jolts,1,0,0,1
wanton,0,1,0,1
daughter,1,1,0,2
study,2,0,0,2
smoke,4,5,0,9
browsing,1,0,0,1
glittering,1,0,1,2
secure,0,1,0,1
naugahyde,1,0,0,1
darlings,0,2,0,2
vapors,0,0,1,1
thrust,0,2,0,2
thursday,0,1,0,1
hindsight,0,0,1,1
glance,1,3,1,5
total,0,0,1,1
catafalque,1,0,0,1
indians,2,0,0,2
chooses,0,2,0,2
insult,1,0,0,1
bilge,1,0,0,1
reign,0,1,0,1
pierced,1,1,0,2
separates,1,0,0,1
handkerchiefs,1,0,0,1
word,8,8,2,18
wore,3,1,0,4
divorced,0,1,0,1
crest,0,1,0,1
work,5,8,9,22
worn,1,3,1,5
ere,0,4,0,4
groves,0,3,0,3
mechanic,1,0,0,1
blooming,0,1,0,1
could,33,21,24,78
quiver,0,1,1,2
quivering,1,0,0,1
flung,1,1,0,2
indifferent,2,0,0,2
provide,0,0,1,1
agony,1,1,0,2
hosannas,1,0,0,1
recovers,0,1,0,1
rewind,0,0,1,1
boats,2,1,0,3
resignation,1,0,0,1
offshore,1,0,0,1
fever,2,0,0,2
lad,0,6,0,6
after,13,6,6,25
lay,7,4,6,17
midlands,0,1,0,1
law,0,3,0,3
lap,2,1,0,3
austere,1,0,0,1
fatherless,0,1,0,1
greet,1,0,0,1
greek,0,1,0,1
green,12,8,2,22
ultraviolet,1,0,0,1
order,0,1,0,1
greed,0,2,1,3
infested,1,0,0,1
office,0,1,0,1
nets,1,0,0,1
mayor,0,1,1,2
bombing,0,1,0,1
somewhere,2,0,0,2
brawling,0,2,0,2
then,49,39,26,114
them,34,24,7,65
woken,0,0,1,1
fragment,1,0,0,1
thee,0,26,1,27
safe,1,3,1,5
collide,0,0,1,1
break,4,0,3,7
bang,3,0,0,3
squadrons,0,1,0,1
penetration,0,0,1,1
they,90,60,30,180
soothing,0,0,2,2
bank,0,1,0,1
bread,3,1,1,5
rocky,0,0,1,1
oxygen,1,0,0,1
reasonably,1,0,0,1
tyranny,0,1,0,1
rocks,3,3,0,6
puppet,0,1,0,1
lifted,3,3,0,6
logs,0,1,0,1
sled,1,3,0,4
dogskin,1,0,0,1
flock,0,1,0,1
hazels,0,1,0,1
whining,1,0,0,1
burlap,1,0,0,1
forty,2,1,0,3
fellows,0,1,0,1
strangers,4,2,0,6
remorse,0,1,0,1
medicine,3,0,0,3
forth,4,4,1,9
sliding,0,2,0,2
putrescent,0,1,0,1
barrier,0,0,1,1
colorless,1,0,1,2
firecoal,0,1,0,1
sunning,0,1,0,1
dashing,0,0,1,1
ungraspable,1,0,0,1
dammit,2,0,0,2
renew,0,1,0,1
oppose,1,0,0,1
incorporated,1,0,0,1
chopped,2,0,0,2
render,0,1,0,1
pots,1,0,0,1
railroads,0,2,0,2
guzzle,1,0,0,1
another,10,5,10,25
thoughtfully,0,0,1,1
thick,1,4,0,5
tangle,0,1,0,1
swatting,0,0,1,1
rates,0,1,0,1
fumble,0,1,0,1
danville,0,0,1,1
starch,0,1,0,1
john,0,1,1,2
dogs,0,2,0,2
chanted,1,0,0,1
emblem,0,1,0,1
wastes,0,1,0,1
wasted,1,0,1,2
toronto,1,0,0,1
mercy,3,1,0,4
swaddling,1,0,0,1
scenes,2,1,0,3
seated,0,1,0,1
merci,1,0,0,1
guilt,1,1,2,4
iron,2,4,0,6
devious,0,1,0,1
tipping,1,0,0,1
linderman,1,0,0,1
constellations,1,0,0,1
vastness,0,1,0,1
enchanted,0,2,0,2
manner,0,1,0,1
stalls,1,0,0,1
contents,1,0,0,1
strength,1,6,2,9
realm,0,2,0,2
laden,0,0,1,1
elation,0,0,1,1
rome,0,2,0,2
thundering,0,1,0,1
snowflake,0,1,0,1
maiden,0,2,0,2
circlet,1,0,0,1
sue,0,1,0,1
germany,1,0,0,1
where'er,0,1,0,1
phase,1,0,0,1
grave,3,9,0,12
aunt,0,4,0,4
deeply,0,0,1,1
junipers,0,1,0,1
sum,0,1,0,1
subtly,0,1,0,1
wrung,2,1,0,3
subtle,0,0,1,1
squirmed,0,1,0,1
deepest,0,0,2,2
frogmarched,1,0,0,1
belching,0,1,0,1
do,24,32,77,133
cappuccino,0,0,3,3
agape,1,0,1,2
de,0,1,0,1
gored,1,0,0,1
haunted,1,0,0,1
happiest,0,0,1,1
dr,0,0,1,1
runs,2,2,1,5
covering,0,1,0,1
gears,1,0,0,1
steal,0,1,0,1
steam,2,1,1,4
turmoil,0,1,0,1
unmake,0,1,0,1
damnation,0,1,0,1
cattle,2,0,0,2
techniques,2,0,0,2
pastel,1,0,0,1
draws,1,3,0,4
away,25,22,22,69
unable,1,0,0,1
drawn,1,2,1,4
caves,2,1,1,4
shields,0,1,0,1
we,106,109,85,300
wi,0,3,0,3
admirals,0,1,0,1
unfold,2,1,0,3
kitchen,2,0,0,2
received,0,1,0,1
climate,1,0,0,1
cow,0,1,0,1
excrement,1,0,0,1
ill,1,3,1,5
brac,0,1,0,1
steer,0,1,0,1
groans,2,0,0,2
con,1,0,0,1
prefers,0,1,0,1
tough,1,0,3,4
spear,0,1,0,1
cadenced,2,0,0,2
bestows,0,1,0,1
sardines,3,0,0,3
wider,0,1,0,1
oblivious,0,0,1,1
heals,0,1,0,1
speak,1,3,1,5
twilights,0,1,0,1
engines,2,0,0,2
condemned,2,0,0,2
warmth,0,0,1,1
families,1,0,1,2
easy,2,0,1,3
relaxing,0,0,1,1
hoist,0,1,0,1
contestant,1,0,0,1
has,24,44,17,85
harms,0,1,0,1
pungent,1,0,0,1
air,12,19,6,37
aim,0,0,1,1
voluminous,0,1,0,1
warbled,0,1,0,1
aid,0,2,0,2
property,1,0,0,1
moan,0,5,1,6
mistake,0,1,2,3
plover,0,1,0,1
crowning,0,0,1,1
sting,2,0,0,2
skipping,1,0,0,1
tissue,0,1,0,1
brake,0,0,1,1
cone,1,0,0,1
soldier,1,3,0,4
perform,1,0,0,1
jerry,0,1,0,1
descend,1,1,0,2
plates,1,2,0,3
wheel,3,0,0,3
idyl,0,1,0,1
springing,0,1,0,1
hang,0,2,1,3
evil,3,5,1,9
hand,14,14,14,42
selfless,0,0,1,1
blamed,0,1,0,1
railspike,1,0,0,1
kept,2,0,0,2
whereby,0,3,0,3
thy,0,43,5,48
humble,0,6,0,6
sullenly,1,0,0,1
the,1219,1391,517,3127
marsupials,1,0,0,1
mingle,0,1,1,2
gods,1,3,0,4
repose,2,0,0,2
farther,0,0,1,1
tramples,0,1,0,1
hills,4,5,2,11
shout,0,3,0,3
spread,1,2,1,4
transformed,1,1,0,2
board,0,1,0,1
righteous,0,1,0,1
photographed,0,1,0,1
innsbruck,0,1,0,1
keats,1,0,0,1
boxes,5,0,0,5
barge,1,0,0,1
hairless,1,0,0,1
lily,0,1,0,1
lapsed,0,1,0,1
night,30,46,16,92
starvation,1,0,0,1
honored,2,0,0,2
sends,2,0,0,2
flatter,0,1,0,1
briars,1,0,0,1
eyeing,1,0,0,1
born,2,12,2,16
bore,0,1,1,2
orchid,0,1,0,1
festers,0,1,0,1
climacteric,1,0,0,1
humor,1,0,0,1
purple,0,4,0,4
nuzzled,1,0,0,1
denied,1,0,0,1
beating,0,1,1,2
dovelike,0,1,0,1
peel,1,0,1,2
confer,0,1,0,1
angering,1,0,0,1
substitution,2,0,0,2
taker,0,1,0,1
post,1,1,0,2
robotically,0,0,1,1
banked,1,0,0,1
diner,1,0,0,1
fiies,0,1,0,1
theirs,1,1,0,2
newspapers,2,0,0,2
months,0,0,2,2
horizon,0,2,0,2
cherish,1,1,3,5
dilemma,0,0,1,1
mantle,0,1,1,2
scuppers,0,1,0,1
prisoners,1,0,0,1
float,1,1,0,2
viewless,0,1,0,1
stumble,0,1,1,2
ole,0,1,0,1
strangely,1,1,0,2
deception,0,1,0,1
wailed,0,1,0,1
redbirds,1,0,0,1
tumblers,1,0,0,1
fight,1,1,4,6
accordingly,0,1,0,1
dews,0,1,0,1
way,20,7,23,50
wax,0,1,0,1
accords,0,1,0,1
quirky,0,0,1,1
was,79,74,65,218
war,3,14,3,20
becoming,1,0,0,1
vitality,1,0,0,1
taken,2,2,1,5
boon,0,1,0,1
astonished,1,0,1,2
cedes,0,0,1,1
true,6,5,30,41
absent,1,1,0,2
dowry,0,1,0,1
braver,1,0,0,1
captive,0,1,0,1
invincible,0,1,0,1
crystal,1,0,0,1
anew,1,0,2,3
unusually,1,0,0,1
prayed,0,2,0,2
promises,1,0,2,3
promiser,0,1,0,1
guesses,0,1,0,1
tweilen,0,1,0,1
evidence,1,0,0,1
manure,1,0,0,1
howling,0,2,0,2
guessed,1,0,0,1
promised,0,1,0,1
prayer,1,2,0,3
wintry,0,1,0,1
mold,2,0,0,2
mole,1,0,0,1
flap,1,1,0,2
dying,6,5,3,14
meanness,1,0,0,1
reality,3,0,5,8
interested,2,0,1,3
holding,4,1,5,10
test,1,0,0,1
unwilling,0,0,1,1
shrink,0,1,0,1
brothers,3,1,0,4
o'clock,0,2,0,2
welcome,1,3,0,4
cheated,0,0,2,2
together,11,4,17,32
beds,0,2,0,2
songs,0,2,0,2
concept,0,1,1,2
dance,2,6,2,10
battle,1,3,3,7
layers,1,0,0,1
certainly,0,1,0,1
mounted,1,3,0,4
grape,1,0,0,1
zone,0,1,0,1
hums,0,0,1,1
flash,5,1,0,6
aristocratic,0,1,0,1
rhythm,1,0,1,2
terror,2,2,1,5
shakespeare,0,1,0,1
brown,4,3,2,9
pondered,0,1,0,1
seemingly,1,0,0,1
anonymous,1,0,0,1
trouble,1,1,0,2
dumbshow,1,0,0,1
brows,0,1,0,1
turns,0,1,4,5
auld,0,0,1,1
fragile,1,0,0,1
gun,3,1,0,4
p,0,0,1,1
brine,0,1,0,1
gut,0,0,1,1
guy,4,0,1,5
woven,0,0,1,1
brave,2,3,0,5
temples,1,2,0,3
bedroom,2,0,0,2
discover,1,1,0,2
cost,1,0,1,2
helpless,1,0,1,2
tempest,0,1,0,1
curse,0,2,1,3
appear,2,0,2,4
wolfe,0,1,0,1
shared,0,0,3,3
appeal,0,1,0,1
blotched,1,0,0,1
supporting,1,0,0,1
nothen,0,1,0,1
aline,0,1,0,1
genes,1,0,0,1
whiteness,0,1,0,1
pause,0,2,0,2
hadn't,3,1,0,4
roaring,1,1,0,2
hoops,0,1,0,1
appears,2,1,0,3
change,1,7,7,15
sending,1,0,0,1
merriment,0,2,0,2
flames,2,1,0,3
trial,1,0,0,1
bangs,1,0,0,1
usually,1,0,0,1
pillow,2,0,1,3
mellowed,0,1,0,1
should,7,18,7,32
market,1,2,0,3
primrose,0,1,0,1
prove,0,1,0,1
live,8,12,11,31
angels,0,1,0,1
hesitates,1,0,0,1
entrance,1,0,0,1
countertop,1,0,0,1
towers,0,4,1,5
repentance,0,0,1,1
clue,0,0,1,1
hesitated,1,0,0,1
fingered,3,0,0,3
trilling,1,0,0,1
car,7,0,1,8
cap,2,0,0,2
cat,4,2,0,6
decker,0,1,0,1
hardest,0,0,3,3
gathers,1,0,0,1
can,27,28,44,99
unmourned,1,0,0,1
fortifies,0,1,0,1
breeds,0,1,0,1
heart,8,49,65,122
gaston,1,0,0,1
pauses,1,0,0,1
saith,0,2,0,2
december,2,1,0,3
chip,1,0,0,1
didn't,8,1,6,15
heard,13,10,7,30
purity,0,1,1,2
occur,0,0,1,1
bankrupt,0,1,0,1
spreads,0,1,1,2
trophies,1,1,0,2
write,4,2,2,8
flank,1,0,0,1
gaping,0,1,0,1
nonstop,1,0,0,1
product,1,0,0,1
neat,0,2,0,2
ponies,1,1,0,2
lifting,2,3,0,5
indifferently,1,0,0,1
remember,2,1,9,12
